Date,Oil ,Sensex,USD-INR,Gold,,Jan-March 2018,Oil,Sensex,USD-INR,Gold
1/2/2018,60.37,33812.26,63.46,83245.29,,AVERAGE,62.90508772,34244.43877,64.36482456,85511.14018
1/3/2018,61.61,33793.38,63.505,83548.73,,MAX,65.92,36283.25,65.23,87739.5
1/4/2018,61.98,33969.64,63.4,83334.36,,MIN,59.2,32596.54,63.34,83245.29
1/5/2018,61.49,34153.85,63.34,83462.84,,MEDIAN,62.92,34142.15,64.28,85586.06
1/8/2018,61.73,34352.79,63.475,83674.91,,STD DEV,1.756433199,957.2756976,0.6298950911,1028.383543
1/9/2018,62.92,34443.19,63.67,83495.93,,VAR,3.085057581,916376.7611,0.3967678258,1057572.712
1/10/2018,63.6,34433.07,63.63,83944.34,,SKEWNESS,-0.01043883536,0.6063689186,-0.08788485403,-0.4105697243
1/11/2018,63.81,34503.49,63.69,84228.65,,COVAR,,647.8809869,-0.2075359495,529.4142921
1/12/2018,64.22,34592.39,63.61,84417.64,,CORREL,,0.3922052412,-0.1909326956,0.2983291802
1/16/2018,63.82,34771.05,64.02,85426.41,,,,,,
1/17/2018,63.92,35081.82,63.885,85296.25,,,,,,
1/18/2018,63.96,35260.29,63.87,85045.97,,,,,,
1/19/2018,63.38,35511.58,63.83,85149.77,,,,,,
1/22/2018,63.66,35798.01,63.89,85084.82,,,,,,
1/23/2018,64.45,36139.98,63.76,85064.24,,April-June 2018,Oil,Sensex,USD-INR,Gold
1/24/2018,65.69,36161.64,63.66,86195.13,,AVERAGE,68.07793651,34875.42873,67.01920635,87529.0681
1/25/2018,65.62,36050.44,63.515,86151.09,,MAX,77.41,35739.16,68.84,89206.59
1/29/2018,65.71,36283.25,63.6,85386.53,,MIN,62.03,33019.07,64.89,85674.58
1/30/2018,64.64,36033.73,63.69,85586.06,,MEDIAN,67.91,35037.64,67.35,87639.37
1/31/2018,64.82,35965.02,63.55,85550.2,,STD DEV,3.131480717,665.2879655,1.119865778,844.5956888
2/1/2018,65.92,35906.66,63.98,85641.82,,VAR,9.80617148,442608.077,1.25409936,713341.8776
2/2/2018,65.5,35066.75,64.13,85285.1,,SKEWNESS,0.5586295924,-0.9507058812,-0.5933114692,-0.2301685216
2/5/2018,64.18,34757.16,64.14,85420.39,,COVAR,,837.6702736,2.12600868,291.7537294
2/6/2018,63.48,34195.94,64.23,85474.2,,CORREL,,0.4085663122,0.6160247745,0.1120899497
2/7/2018,61.91,34082.71,64.28,85151.79,,,,,,
2/8/2018,61.3,34413.16,64.3,84537.39,,,,,,
2/9/2018,59.2,34005.76,64.375,84659.22,,,,,,
2/12/2018,59.41,34300.47,64.28,85055.28,,,,,,
2/14/2018,60.7,34155.95,64.1,85615.2,,,,,,
2/15/2018,61.48,34297.47,63.9,86467.19,,July-Sept 2018,Oil,Sensex,USD-INR,Gold
2/16/2018,61.89,34010.76,64.215,86777.76,,AVERAGE,69.79677966,37278.46356,70.05428814,84996.70525
2/20/2018,61.91,33703.59,64.86,86812.22,,MAX,74.19,38896.63,72.71,87318.02
2/21/2018,61.73,33844.86,64.805,86144.88,,MIN,65.44,35264.41,68.35,82685.37
2/22/2018,62.72,33819.5,64.975,86356.02,,MEDIAN,69.68,37494.4,69.82,84992.42
2/23/2018,63.52,34142.15,64.71,85931.63,,STD DEV,2.200519876,922.2859446,1.583658706,1379.284694
2/26/2018,63.81,34445.75,64.77,86284.1,,VAR,4.842287726,850611.3635,2.507974898,1902426.267
2/27/2018,62.94,34346.39,64.92,86006.37,,SKEWNESS,0.3785885812,-0.2610325585,0.5831428575,0.1076761311
